Date,Open,High,Low,Close,Adj Close,Volume
7/10/2018,810,825,805,810,787.529541,38359900
7/11/2018,800,865,795,845,821.558655,123699500
7/12/2018,850,865,840,860,836.142517,72284300
7/13/2018,880,945,875,910,884.755432,172649900
7/16/2018,915,935,895,900,875.032837,119203500
7/17/2018,905,905,875,880,855.587646,73995300
7/18/2018,885,910,875,885,860.448975,74310200
7/19/2018,895,900,870,875,850.72644,62368900
7/20/2018,870,880,865,870,845.865051,48279400
7/23/2018,875,895,870,885,860.448975,62488300
7/24/2018,885,905,880,885,860.448975,65016400
7/25/2018,895,900,880,880,855.587646,44411000
7/26/2018,890,925,890,890,865.310242,127167800
7/27/2018,895,905,885,900,875.032837,47461800
7/30/2018,895,960,890,955,928.50708,218292600
7/31/2018,955,960,910,915,889.61676,118883000
8/1/2018,925,945,920,940,913.923157,84475200
8/2/2018,925,940,910,915,889.61676,58688100
8/3/2018,920,925,890,900,875.032837,50570900
8/6/2018,905,940,905,935,909.06189,69575600
8/7/2018,945,955,920,925,899.339294,123380900
8/8/2018,935,940,915,920,894.478027,48764400
8/9/2018,925,930,905,910,884.755432,31836400
8/10/2018,915,915,895,895,870.17157,45945400
8/13/2018,890,890,850,855,831.281189,64752100
8/14/2018,850,865,825,845,821.558655,64021600
8/15/2018,835,865,830,865,841.003845,47421900
8/16/2018,845,845,825,830,806.974731,59004900
8/17/2018,830,830,830,830,806.974731,0
8/20/2018,845,860,835,855,831.281189,56120800
8/21/2018,860,865,835,835,811.83606,54643400
8/22/2018,835,835,835,835,811.83606,0
8/23/2018,845,880,840,870,845.865051,96147600
8/24/2018,870,880,855,875,850.72644,63389000
8/27/2018,890,915,885,895,870.17157,140381500
8/28/2018,905,910,875,880,855.587646,57171900
8/29/2018,890,890,860,875,850.72644,52790500
8/30/2018,895,895,860,865,841.003845,79928200
8/31/2018,855,870,840,870,845.865051,34526100
9/3/2018,855,860,830,830,806.974731,67120100
9/4/2018,830,835,805,805,782.668335,59449300
9/5/2018,800,800,755,775,753.500549,87152200
9/6/2018,770,805,765,800,777.806946,61378500
9/7/2018,810,815,785,795,772.94574,66652400
9/10/2018,805,810,785,795,772.94574,28979600
9/11/2018,795,795,795,795,772.94574,0
9/12/2018,795,805,780,780,758.361816,52060300
9/13/2018,800,815,785,805,782.668335,71033800
9/14/2018,810,810,795,800,777.806946,29160200
9/17/2018,800,805,780,790,768.084412,38810700
9/18/2018,785,795,780,790,768.084412,31323700
9/19/2018,800,805,785,790,768.084412,53035200
9/20/2018,800,810,795,795,772.94574,77237500
