Date,Open,High,Low,Close,Adj Close,Volume
8/20/2018,2910,3040,2890,2990,2921.255127,12618000
8/21/2018,3000,3050,2960,3050,2979.875732,4937600
8/22/2018,3050,3050,3050,3050,2979.875732,0
8/23/2018,3080,3120,2980,2990,2921.255127,14541100
8/24/2018,2990,3000,2880,2950,2882.174805,6117300
8/27/2018,2910,3020,2910,2980,2911.485107,4275500
8/28/2018,3000,3080,2930,2940,2872.405029,6397600
8/29/2018,2940,3100,2880,3090,3018.956055,8017000
8/30/2018,3080,3160,3080,3150,3077.576416,11992200
8/31/2018,3030,3180,3010,3180,3106.886963,7370100
9/3/2018,3130,3160,3040,3080,3009.185791,2539500
9/4/2018,3070,3070,2880,2910,2843.094482,6036200
9/5/2018,2900,2900,2750,2800,2735.623779,14109500
9/6/2018,2750,2910,2750,2830,2764.933838,10835200
9/7/2018,2830,2970,2800,2950,2882.174805,7403400
9/10/2018,2960,2990,2860,2900,2833.324463,5620500
9/11/2018,2900,2900,2900,2900,2833.324463,0
9/12/2018,2910,3020,2890,2930,2862.634766,12825200
9/13/2018,2950,2990,2940,2970,2901.715088,4560200
9/14/2018,3000,3050,3000,3030,2960.335693,4797800
9/17/2018,3020,3020,2900,2970,2901.715088,6516700
9/18/2018,2910,3000,2910,2960,2891.945068,4052500
9/19/2018,2970,3020,2960,2990,2921.255127,4756700
9/20/2018,3000,3000,2860,2920,2852.864502,8065300
9/21/2018,2900,2970,2830,2850,2784.473877,11863200
9/24/2018,2850,2890,2780,2810,2745.393555,10457800
9/25/2018,2820,2840,2770,2790,2725.853516,4363600
9/26/2018,2790,2840,2790,2810,2745.393555,4273200
9/27/2018,2840,2870,2800,2820,2755.163818,3706100
9/28/2018,2820,2850,2760,2760,2696.543213,6762500
10/1/2018,2790,2820,2750,2800,2735.623779,10859200
10/2/2018,2800,2800,2700,2750,2686.773193,9743700
10/3/2018,2750,2880,2740,2860,2794.244141,14016000
10/4/2018,2870,2870,2760,2790,2725.853516,6546700
10/5/2018,2790,2920,2760,2870,2804.014404,8638400
10/8/2018,2840,2970,2840,2930,2862.634766,10076200
10/9/2018,2950,2990,2860,2880,2813.78418,15968600
10/10/2018,2880,2900,2830,2830,2764.933838,9933100
10/11/2018,2750,2800,2720,2750,2686.773193,9511500
10/12/2018,2710,2870,2660,2770,2706.313477,15622400
10/15/2018,2770,2830,2760,2760,2696.543213,2780100
10/16/2018,2760,2790,2740,2790,2725.853516,2483000
10/17/2018,2820,2880,2800,2830,2764.933838,8749500
10/18/2018,2830,2840,2760,2830,2764.933838,4661200
10/19/2018,2830,2830,2750,2780,2716.083496,9249500
10/22/2018,2800,2900,2780,2870,2804.014404,10679900
10/23/2018,2870,2870,2780,2820,2755.163818,4845500
10/24/2018,2790,2810,2740,2760,2696.543213,3900500
10/25/2018,2680,2780,2680,2740,2677.00293,3488300
10/26/2018,2750,2780,2720,2760,2696.543213,4862700
10/29/2018,2760,2800,2670,2680,2618.382568,7137900
10/30/2018,2650,2740,2600,2630,2569.532227,6401200
10/31/2018,2640,2660,2580,2620,2559.762207,4664500
11/1/2018,2660,2670,2190,2220,2168.95874,52029600
11/2/2018,2250,2310,2000,2090,2041.947754,88668000
11/5/2018,2070,2140,2040,2100,2051.717773,28898300
11/6/2018,2130,2240,2110,2230,2178.72876,38982100
11/7/2018,2250,2270,2130,2160,2110.338379,25946000
11/8/2018,2200,2280,2140,2270,2217.809082,32014800
11/9/2018,2260,2300,2200,2270,2217.809082,14170300
11/12/2018,2270,2280,2160,2190,2139.648682,13115400
11/13/2018,2150,2150,2090,2120,2071.258057,20623800
11/14/2018,2120,2160,2100,2140,2090.798096,15557900
11/15/2018,2140,2200,2140,2160,2110.338379,10707200
11/16/2018,2160,2240,2130,2200,2149.418457,16645400
11/19/2018,2210,2240,2140,2190,2139.648682,9953700
11/20/2018,2190,2190,2190,2190,2139.648682,0
11/21/2018,2170,2210,2150,2180,2129.878418,4971200
11/22/2018,2210,2280,2180,2210,2159.188721,10282500
11/23/2018,2210,2250,2210,2220,2168.95874,4753800
11/26/2018,2240,2250,2180,2210,2159.188721,5444200
11/27/2018,2210,2220,2180,2200,2149.418457,4738600
11/28/2018,2180,2190,2010,2030,1983.327148,18635700
11/29/2018,2040,2100,2030,2050,2002.867188,12457900
11/30/2018,2040,2060,1950,2040,1993.097168,17929200
12/3/2018,2000,2050,1985,2020,1973.557007,10873300
12/4/2018,2010,2010,1975,1980,1934.476807,11990300
12/5/2018,1965,1965,1875,1890,1846.546021,24077800
12/6/2018,1890,1985,1880,1950,1905.166382,22524900
12/7/2018,1960,2020,1955,1960,1914.936523,15009300
12/10/2018,1960,1970,1900,1915,1870.971069,6676500
12/11/2018,1925,1925,1875,1880,1836.775757,7964300
12/12/2018,1885,1935,1880,1915,1870.971069,11163500
12/13/2018,1940,1990,1915,1945,1900.281494,20301500
12/14/2018,1945,1960,1920,1920,1875.856201,8055500
12/17/2018,1930,1935,1890,1910,1866.086182,7817200
12/18/2018,1920,1935,1890,1935,1890.511353,5999700
12/19/2018,1950,2040,1940,2040,1993.097168,27021900
12/20/2018,2020,2100,2000,2010,1963.786987,31897000
12/21/2018,2010,2060,2000,2050,2002.867188,19388400
12/24/2018,2050,2050,2050,2050,2002.867188,0
12/25/2018,2050,2050,2050,2050,2002.867188,0
12/26/2018,2050,2050,1930,1940,1895.396362,8224700
12/27/2018,1970,2040,1970,2000,1954.016846,15916700
12/28/2018,2020,2020,1955,1980,1934.476807,22007600
12/31/2018,1980,1980,1980,1980,1934.476807,0
1/1/2019,1980,1980,1980,1980,1934.476807,0
1/2/2019,2020,2020,1955,1980,1934.476807,5313100
1/3/2019,1980,2030,1970,2020,1973.557007,11314600
1/4/2019,2010,2080,1990,2040,1993.097168,18759700
1/7/2019,2020,2160,2020,2140,2090.798096,51722500
1/8/2019,2140,2200,2110,2190,2139.648682,32563100
1/9/2019,2210,2270,2200,2250,2198.269043,28621800
1/10/2019,2250,2270,2210,2250,2198.269043,13872500
1/11/2019,2250,2260,2200,2200,2149.418457,11299600
1/14/2019,2200,2200,2110,2110,2061.487793,13180700
1/15/2019,2120,2210,2120,2190,2139.648682,20372700
1/16/2019,2190,2330,2190,2310,2256.889404,40171200
1/17/2019,2330,2370,2300,2300,2247.119385,21537800
1/18/2019,2300,2350,2280,2290,2237.349365,11992000
1/21/2019,2310,2340,2230,2250,2198.269043,11608400
1/22/2019,2220,2330,2170,2270,2217.809082,22784000
1/23/2019,2270,2370,2270,2320,2266.659668,27481400
1/24/2019,2350,2360,2310,2330,2276.429688,15091400
1/25/2019,2360,2370,2170,2190,2139.648682,37595300
1/28/2019,2220,2220,2100,2130,2081.027832,32743000
1/29/2019,2130,2170,2040,2060,2012.637451,29299200
1/30/2019,2070,2120,2060,2110,2061.487793,16156100
1/31/2019,2140,2170,2120,2170,2120.108154,11999900
2/1/2019,2170,2190,2100,2100,2051.717773,10715500
2/4/2019,2110,2140,2090,2120,2071.258057,16082100
2/5/2019,2120,2120,2120,2120,2071.258057,0
2/6/2019,2130,2220,2130,2200,2149.418457,40880800
2/7/2019,2210,2230,2150,2170,2120.108154,28062500
2/8/2019,2160,2210,2140,2180,2129.878418,21432400
2/11/2019,2170,2200,2110,2130,2081.027832,23067700
2/12/2019,2130,2140,2040,2070,2022.407471,21694700
2/13/2019,2090,2110,1995,2020,1973.557007,15619400
2/14/2019,2050,2110,1995,2050,2002.867188,43970600
2/15/2019,2050,2440,2050,2340,2286.199707,211910100
2/18/2019,2360,2580,2360,2530,2471.831543,95862900
